"tengah","tengah 2","tengah 3","tengah 4","tengah 5","tengah 6","tengah 7","tengah 8","tengah 9","tengah 10","tengah 11","tengah 12","tengah 13","tengah 14","tengah 15","tengah 16","tengah 17","tengah 18","tengah 19","tengah 20","tengah 21","tengah 22","tengah 23","tengah 24","tengah 27","tengah 28","tengah 29"
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2024-08-12","Emergency Diesel Generator Unit1","28","0.8","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","0","0","1020","261.3","574","40","40","RPM=1500. Kondisi Normal","Sholahudin","1"
"3","2024-08-19","Emergency Diesel Generator Unit1","28","0.6","Normal","Over","Normal","400","401","400","231","231","231","0","0","22534","50","1499","1022","261.5","553","48","46","kondisi normal","Sholahudin","1"
"4","2024-08-26","Emergency Diesel Generator Unit1","27","0.81","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1503","1018","261.6","39","29","27","NORMAL","Muflihun","1"
"5","2024-09-03","Emergency Diesel Generator Unit1","27.4","7.02","Normal","Normal","Normal","400","401","400","231","231","231","0","0","22534","50","1501","1206","261.8","546","38","36","Keaadan cell battery kotor serta penambahan cairan battery ke cell yang kosong. Lantai rungan kotor","Rizal","0"
"6","2024-09-09","Emergency Diesel Generator Unit1","27.4","1.25","Normal","Normal","Normal","400","400","400","230","231","231","0","0","22534","50","1501","1028","261.9","539","31","29","Normal","Surya","0"
"7","2024-10-08","Emergency Diesel Generator Unit1","27.3","1","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1501","1036","262.5","553","48","47","Kondisi normal","Ponco","0"
"8","2024-10-15","Emergency Diesel Generator Unit1","27.4","0.6","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1501","1038","262.7","564","49","47","Kondisi normal","Ponco","0"
"9","2024-10-21","Emergency Diesel Generator Unit1","27.9","0.55","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1499","1040","262.8","546","41","38","kondisi normal","Sholahudin","0"
"10","2024-10-28","Emergency Diesel Generator Unit1","27.3","1.8","Normal","Normal","Normal","400","400","400","230","230","230","0","0","22534","50","1500","0","1042","539","32","30","Test fungsi normal, standby auto","Arif","0"
"11","2024-11-04","Emergency Diesel Generator Unit1","28","0","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1500","1044","263.1","539","51","48","Normal","Ibnu","0"
"12","2024-11-11","Emergency Diesel Generator Unit1","28","1.03","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1501","1046","263.3","546","43","41","Normal runing tes remote dan lokal","Depi","0"
"16","2024-11-18","Emergency Diesel Generator Unit1","27.4","1.03","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1501","1048","264.2","449","80","78","Runing tes lokal dan remote Aman","Andi Ibnu","0"
"17","2024-11-25","Emergency Diesel Generator Unit1","28","1.63","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1501","1050","264.7","553","49","47","normal","Ponco","1"
